index,quote_text
4,I lie on the beach like a crocodile and let myself be roasted by the sun. I never see a newspaper and don't give a damn for what is called the world.
39,"Most of us prefer to look outside rather than inside ourselves; for in the latter case we see but a dark hole, which means: nothing at all."
41,There is not the slightest indication that will ever be obtainable. It would mean that the atom would have to be shattered at will.
45,Do not worry about your difficulties in Mathematics. I can assure you mine are still greater.
48,Why is it nobody understands me and everybody likes me?
53,"Had I known that the Germans would not succeed in producing an atomic bomb, I would not have lifted a finger."
75,I have expressed an opinion on public issues whenever they appeared to me so bad and unfortunate that silence would have made me feel guilty of complicity.
78,It appears dubious whether a field theory can account for the atomistic structure of matter and radiation as well as of quantum phenomena.
83,Whoever undertakes to set himself up as a judge of Truth and Knowledge is shipwrecked by the laughter of the gods.
85,"The attempt to combine wisdom and power has only rarely been successful, and then only for a short while."
95,God does not care about our mathematical difficulties. He integrates empirically.
102,"I love to travel, but I hate to arrive."
105,"Much later, when I was discussing cosmological problems with Einstein, he remarked that the introduction of the cosmological term was the biggest blunder he ever made in his life."
106,Then I would have felt sorry for the dear Lord. The theory is correct.
119,Anonymity is no excuse for stupidity.
127,"What a betrayal of man's dignity. He uses the highest gift, his mind, only ten percent, and his emotions and instincts ninety percent."
136,"If I had foreseen Hiroshima and Nagasaki, I would have torn up my formula in 1905."
139,"If I would follow your advice and Jesus could perceive it, he, as a Jewish teacher, surely would not approve of such behavior."
156,Tell him to go to hell; I'm for Jimmy Byrnes.
157,Never bring that fucking cretin in here again. He did not drop the bomb. I did. That kind of weepiness makes me sick.
159,"I sincerely wish that every member of Congress could visit the displaced person's camp in Germany and Austria and see just what is happening to 500,000 human beings through no fault of their own."
161,"No government is perfect. One of the chief virtues of a democracy, however, is that its defects are always visible and under democratic processes can be pointed out and corrected."
170,Whenever you have an efficient government you have a dictatorship.
174,I do not believe in shooting anything that cannot shoot back.
183,The fundamental cause of the trouble is that in the modern world the stupid are cocksure while the intelligent are full of doubt.
197,"Brief and powerless is Man's life; on him and all his race the slow, sure doom falls pitiless and dark."
208,must look into hell before one has any right to speak of heaven.
210,The principal source of the harm done by the State is the fact that power is its chief end.
229,"The Calculus required continuity, and continuity was supposed to require the infinitely little; but nobody could discover what the infinitely little might be."
230,"Thus mathematics may be defined as the subject in which we never know what we are talking about, nor whether what we are saying is true."
238,"Nine-tenths of the activities of a modern Government are harmful; therefore the worse they are performed, the better."
250,"I went to Salt Lake City and the Mormons tried to convert me, but when I found they forbade tea and tobacco I thought it was no religion for me."
269,"Americans need rest, but do not know it. I believe this to be a large part of the explanation of the crime wave in the United States."
277,A world without delight and without affection is a world destitute of value.
287,I regard as a disease born of fear and as a source of untold misery to the human race.
288,"There are those who blame the Press, but in this I think they are mistaken. The Press is such as the public demands, and the public demands bad newspapers because it has been badly educated."
289,"It is generally admitted that most grown-up people, however regrettably, will try to have a good time."
290,The fundamental cause of the trouble is that in the modern world the stupid are cocksure while the intelligent are full of doubt.
298,"Every man would like to be God, if it were possible; some few find it difficult to admit the impossibility."
303,"The ""social contract,"" in the only sense in which it is not completely mythical, is a contract among conquerors, which loses its raison d'être if they are deprived of the benefits of conquest."
305,"The merits of democracy are negative: it does not insure good government, but it prevents certain evils."
325,"A stupid man's report of what a clever man says is never accurate, because he unconsciously translates what he hears into something that he can understand."
330,Obscenity is whatever happens to shock some elderly and ignorant magistrate.
336,"If the Communists conquered the world, it would be very unpleasant for a while, but not forever. But if the human race is wiped out, that is the end."
340,"Since Adam and Eve ate the apple, man has never refrained from any folly of which he was capable. The End."
343,All movements go too far.
345,Neither a man nor a crowd nor a nation can be trusted to act humanely or to think sanely under the influence of a great fear.
358,"If you're certain, you're certainly wrong, because nothing deserves certainty."
365,"I dislike Communism because it is undemocratic, and capitalism because it favors exploitation."
370,Why? Surely they can find other men.
371,It's not the experience that happens to you: it's what you do with the experience that happens to you.
375,"Even when the experts all agree, they may well be mistaken."
379,Democracy is the process by which people choose the man who'll get the blame.
392,"It is always a silly thing to give advice, but to give good advice is absolutely fatal."
396,All art is immoral.
409,"Prayer must never be answered: if it is, it ceases to be prayer and becomes correspondence."
415,"Reforms in Russia are very tragic, but they always end in a farce."
421,There are few things easier than to live badly and to die well.
422,"Experience, the name men give to their mistakes."
423,Indifference is the revenge the world takes on mediocrities.
426,"She said that she would dance with me if I brought her red roses,"" cried the young Student; ""but in all my garden there is no red rose."
430,It is always the unreadable that occurs.
439,"Oh! journalism is unreadable, and literature is not read."
444,"As for modern Journalism, its not my business to defend it. It justifies its own existence by the great Darwinian principle of the survival of the vulgarest."
449,"As long as war is regarded as wicked, it will always have its fascination. When it is looked upon as vulgar, it will cease to be popular."
450,There is no sin except stupidity.
454,One is tempted to define man as a rational animal who always loses his temper when he is called upon to act in accordance with the dictates of reason.
457,It is immoral to use private property in order to alleviate the horrible evils that result from the institution of private property.
474,A man who does not think for himself does not think at all.
476,It is absurd to divide people into good and bad. People are either charming or tedious.
481,"My experience is that as soon as people are old enough to know better, they don't know anything at all."
485,"We are all in the gutter, but some of us are looking at the stars."
486,"In this world there are only two tragedies. One is not getting what one wants, and the other is getting it."
488,Experience is the name everyone gives to their mistakes.
499,Men marry because they are tired; women because they are curious. Both are disappointed.
501,"Moderation is a fatal thing, Lady Hunstanton. Nothing succeeds like excess."
506,It is a very sad thing that nowadays there is so little useless information.
507,The only link between Literature and the Drama left to us in England at the present moment is the bill of the play.
515,Ambition is the last refuge of the failure.
518,Patriotism is the vice of nations.
