index,quote_text
33,My passionate interest in social justice and social responsibility has always stood in curious contrast to a marked lack of desire for direct association with men and women.
155,Some of my best friends never agree with me politically.
173,"And as I say to you, whenever you put a man on the Supreme Court, he ceases to be your friend, you can be sure of that."
399,"On George Bernard Shaw An excellent man: he has no enemies, and none of his friends like him."
509,Friendship is far more tragic than love. It lasts longer.
551,The absence of old friends one can endure with equanimity. But even a momentary separation from anyone to whom one has just been introduced is almost unbearable.
557,"If you are not too long, I will wait here for you all my life."
618,People who live in society have learned how to see themselves in mirrors as they appear to their friends. I have no friends. Is that why my flesh is so naked?
654,I have no need for good souls: an accomplice is what I wanted.
777,"Back, n. That part of your friend which it is your privilege to contemplate in your adversity."
946,I then had one of the three or four long intimate conversations with him which are all I can boast.
1028,"The reason for having diplomatic relations is not to confer a compliment, but to secure a convenience."
1137,"For in my mynde, of all mankynde I loue but you allon."
1376,"I am a communist, but not a member of the Communist Party. Stalin is a first rate Fabian. I am one of the founders of Fabianism and as such very friendly to Russia."
1563,"When people are friends, they have no need of justice, but when they are just, they need friendship in addition."
1564,"The best friend is he that, when he wishes a person's good, wishes it for that person's own sake."
1578,A friend is one soul abiding in two bodies.
1632,It is more shameful to distrust our friends than to be deceived by them.
1671,"Honesty and trust are promoted, and good neighborliness cultivated."
1701,Though lions to their enemies they were lambs to their friends.
1711,It destroys one's nerves to be amiable every day to the same human being.
1716,"Never apologize for showing feeling, my friend. Remember that when you do so, you apologize for truth."
1829,"There is a freemasonry among the dull by which they recognize and are sociable with the dull, as surely as a correspondent tact in men of genius."
1888,"Nor knowest thou what argument Thy life to thy neighbor's creed has lent: All are needed by each one, Nothing is fair or good alone."
1960,"The highest compact we can make with our fellow, is, — ""Let there be truth between us two forevermore""."
1998,The ornament of a house is the friends who frequent it.
1999,"The days .... come and go like muffled and veiled figures, sent from a distant friendly party; but they say nothing, and if we do not use the gifts they bring, they carry them as silently away."
2571,"Living next to you is in some ways like sleeping with an elephant. No matter how friendly and even-tempered is the beast, if I can call it that, one is affected by every twitch and grunt."
2578,"If Canada is to survive, it can only survive in mutual respect and in love for one another."
2631,It is not often that someone comes along who is a true friend and a good writer. Charlotte was both.
2742,What is commonly called friendship even is only a little more honor among rogues.
2743,Nothing makes the earth seem so spacious as to have friends at a distance; they make the latitudes and longitudes.
2897,"I have been thinking that I would make a proposition to my Republican friends... that if they will stop telling lies about the Democrats, we will stop telling the truth about them."
2989,"Men may have friends, statesmen cannot."
3107,"There are Germans and Poles in Europe, and they ought to live together in agreement. The Poles cannot think of Europe without the Germans and the Germans cannot think of Europe without the Poles."
3146,"If the friendship of England could not be won by the measures I had taken and the advances I had made, then it could never be won in the future. There was no other choice then but to fight."
