index,quote_text
34,"My political ideal is democracy. Everyone should be respected as an individual, but no one idolized."
133,"My God may not be your idea of God, but one thing I know of my God — he makes me a humanitarian. I am a proud Jew because we gave the world the Bible and the story of Joseph."
380,"Tread Lightly, she is near Under the snow, Speak gently, she can hear The daisies grow."
456,Charity creates a multitude of sins.
469,"And it is only fair to state, with regard to modern journalists, that they always apologise to one in private for what they have written against one in public."
477,Nowadays we are all of us so hard up that the only pleasant things to pay are compliments. They're the only things we can pay.
553,"Never speak disrespectfully of Society, Algernon. Only people who can't get into it do that."
556,I've now realized for the first time in my life the vital Importance of Being Earnest.
562,I always pass on good advice. It is the only thing to do with it. It is never of any use to oneself.
573,"However, it is always nice to be expected, and not to arrive."
657,"Now I am weary and I can no longer tell good from Evil, and I need someone to show me the way."
692,"If you are not already dead, forgive. Rancor is heavy, it is worldly; leave it on earth: die light."
704,"Yes, Lord, you are innocence itself: how could you conceive of Nothingness, you who are plenitude? Your gaze is light and transforms all into light: how could you know the half-light in my heart?"
723,"In doing Good, I lose myself in Being, I abandon my particularity, I become a universal subject."
849,"Politeness, n. The most acceptable hypocrisy."
1019,When I am abroad I always make it a rule never to criticize or attack the Government of my country. I make up for lost time when I am at home.
1045,I am a sporting man. I always give them a fair chance to get away.
1103,An idealist is a person who helps other people to be prosperous.
1134,"Blow, northerne wynd,Sent thou me my suetyng!Blow, northerne wynd,Blou! Blou! Blou!"
1150,"Any food, any feeding,Feeding, drink, or clothing;Come dame or maid, be not afraid,Poor Tom will injure nothing."
1262,There are no perfectly honorable men; but every true man has one main point of honor and a few minor ones.
1317,"I like a bit of a mongrel myself, whether it's a man or a dog; they're the best for every day."
1436,"No act of kindness, no matter how small, is ever wasted."
1487,"He had been mistaken several times for Robert Redford, but on each occasion it was by a blind person."
1505,I bought her this handkerchief... and I didn't even know her size.
1595,"First of all, let's dispense with this absurd stereotype that the French are rude. The French are not rude. They just happen to hate you."
1624,"We should never take pleasure in causing pain to others, even to those who have wronged us, but rather strive to do good to all."
1659,Benevolence is the characteristic element of humanity.
1814,"If you are not very clever, you should be conciliatory."
1901,"Hast thou named all the birds without a gun; Loved the wood-rose, and left it on its stalk."
1939,"You can never do a kindness too soon, for you never know how soon it will be too late."
1959,"Fine manners need the support of fine manners in others, and this is a gift interred only by the self."
1961,"The alleged power to charm down insanity, or ferocity in beasts, is a power behind the eye."
1962,Fine manners need the support of fine manners in others.
1987,Ever from one who comes to-morrow Men wait their good and truth to borrow.
1988,"The music that can deepest reach, And cure all ill, is cordial speech."
2091,"The next thing to saying a good thing yourself, is to quote one."
2108,"I call on you not to hate, because hate does not leave space for a person to be fair and it makes you blind and closes all doors of thinking."
2263,"Always do right. This will gratify some people, and astonish the rest."
2434,"— man's heart is a wonderful thing, especially when carried in the purse —"
2646,"But now I see I was not plucked for naught,And after in life's vaseOf glass set while I might survive,But by a kind hand broughtAliveTo a strange place."
2688,I am as desirous of being a good neighbor as I am of being a bad subject.
2738,"We are not that we are, nor do we treat or esteem each other for such, but for that we are capable of being."
2838,"The American people are a very generous people and will forgive almost any weakness, with the possible exception of stupidity."
2851,"And kid Congress and the Senate, don't scold 'em. They are just children thats never grown up. They don't like to be corrected in company. Don't send messages to 'em, send candy."
2876,The king has sent me some of his dirty linen to wash; I will wash yours another time.
2891,"True Patriotism, it seems to me, is based on tolerance and a large measure of humility."
2928,"She would rather light a candle than curse the darkness, and her glow has warmed the world."
2929,It will be helpful in our mutual objective to allow every man in America to look his neighbor in the face and see a man — not a color.
3093,The common good before the individual good. (Gemeinnutz geht vor Eigennutz)
3209,To be good and lead a good life means to give to others more than one takes from them.
3388,"To keep the Golden Rule we must put ourselves in other people's places, but to do that consists in and depends upon picturing ourselves in their places."
3429,"I ran three miles today... finally I said, ""Lady, take your purse."""
3473,He that has patience may compass anything.
3474,We will take the good-will for the deed.
3481,"Come, pluck up a good heart; speak the truth and shame the devil."
3499,Spare your breath to cool your porridge.
3564,"Do not weep, maiden, for war is kind. Because your lover threw wild hands toward the sky And the affrighted steed ran on alone, Do not weep. War is kind."
3565,"Do not weep, babe, for war is kind. Because your father tumbled in the yellow trenches, Raged at his breast, gulped and died, Do not weep. War is kind."
3611,Help me find some shoes I really like. Help me also to find a nymphomaniac coke connection who owns a Ferrari dealership.
3645,"If, after I depart this vale, you ever remember me and have thought to please my ghost, forgive some sinner and wink your eye at some homely girl."
3771,"Now purs, that be to me my lyves light, And saveour, as doun in this worlde here, Out of this toune help me through your might."
3870,"Say goodbye to Pat, say goodbye to the president, and say goodbye to yourself because you're a nice guy. ... I'll see, I'll see."
3871,"Say good-bye to Pat, say good-bye to Jack and say good-bye to yourself, because you're a nice guy."
