index,quote_text
46,"The only thing I can say is this: Only through permanent and faithful cooperation between the United States, Great Britain, and Russia can a lasting peace be secured."
69,I believe that pipe smoking contributes to a somewhat calm and objective judgment in all human affairs.
165,I was the only calm one in the house. You see I've been shot at by experts.
191,All's well that ends well; which is the epitaph I should put on my tombstone if I were the last man left alive.
252,"...it possible to suppose that, if Russia is allowed to have peace, an amazing industrial development may take place, making Russia a rival of the United States."
442,It is well for his peace that the saint goes to his martyrdom. He is spared the sight of the horror of his harvest.
462,"The note of the perfect personality is not rebellion, but peace."
648,"What do I care about Jupiter? Justice is a human issue, and I do not need a god to teach it to me."
673,"I think of death only with tranquility, as an end. I refuse to let death hamper life. Death must enter life only to define it."
768,"Accord, n. Harmony."
820,"Heaven, n. A place where the wicked cease from troubling you with talk of their personal affairs, and the good listen with attention while you expound your own."
838,"Non-combatant, n. A dead Quaker."
846,"Patience, n. A minor form of despair, disguised as a virtue."
985,We do not covet anything from any nation except their respect.
1051,I want no criticism of America at my table. The Americans criticize themselves more than enough.
1053,In War: Resolution. In Defeat: Defiance. In Victory: Magnanimity. In Peace: Good Will.
1420,A crust eaten in peace is better than a banquet partaken in anxiety.
1474,Eternal nothingness is O.K. if you're dressed for it.
1669,"When the Great Dao (Tao, perfect order) prevails, the world is like a Commonwealth State shared by all, not a dictatorship."
1675,"This is the ideal world – a perfect world of equality, fraternity, harmony, welfare, and justice."
1679,"The Services in war time are fit only for desperadoes but, in peace, are fit only for fools."
1760,"At present the peace of the world has been preserved, not by statesmen, but by capitalists."
1785,"We have brought a peace, and we trust we have brought a peace with honour, and I trust that that will now be followed by the prosperity of the country."
1942,"The real and lasting victories are those of peace, and not of war."
2060,"haunt me. In them I have found eternal compensation, unfathomable power, unbroken peace."
2071,God offers to every mind its choice between truth and repose.
2151,"The peace we seek and need means much more than mere absence of war. It means the acceptance of law, and the fostering of justice, in all the world."
2164,"The gravity of the time is such that every new avenue of peace, no matter how dimly discernible, should be explored."
2293,To promise not to do a thing is the surest way in the world to make a body want to go and do that very thing.
2476,"The so-called ""peace"" is an interval between wars."
2589,"I must say that ""Give Peace a Chance"" has always seemed to me to be sensible advice."
2658,An early morning walk is a blessing for the whole day.
2739,Enthusiasm is supernatural serenity.
2808,I am a peace man. I haven't got any use for wars and there is no more humor in 'em than there is reason for 'em.
2899,"There is no evil in the atom, only in men's souls."
2931,After four years at the United Nations I sometimes yearn for the peace and tranquillity of a political convention.
2943,"The journey of a thousand leagues begins with a single step. So we must never neglect any work of peace within our reach, however small."
2945,Peace is the one condition of survival in this nuclear age.
3104,"Weighing the sacrifices of the last war, we want to be true friends of a peace which will at last heal the wounds from which all have suffered."
3106,There is no better guarantee for the peace of the world than the fanatical unity of the German people.
3108,"We do not wish to interfere with the rights of others, to restrict the lives of other peoples, to oppress or subjugate other people."
3112,Germany will on her side never break the peace. Germany wishes to be on an honourable footing with the neighbour peoples.
3124,We want to be a peace-loving element among the nations. We cannot repeat that often enough.
3135,"We are rearming, but do not dream of attacking other nations, providing they leave us alone. ... We have given Central Europe a great fortune—namely, peace, which is protected by the German might."
3385,"Peace is an awareness of reserves from beyond ourselves, so that our power is not so much in us as through us. Peace is the gift, not of volitional struggle, but of spiritual hospitality."
3673,"Self-respect — The secure feeling that no one, as yet, is suspicious."
3746,Any nation that decides the only way to achieve peace is through peaceful means is a nation that will soon be a piece of another nation.
3802,"hey who complain, in peace, of the insolence of the populace, must remember, that their insolence in peace is bravery in war."
3967,"Using PL/1 must be like flying a plane with 7000 buttons, switches and handles to manipulate in the cockpit."
4063,"If everyone demanded peace instead of another television set, then there'd be peace."
4065,"When we say ""War is over if you want it,"" we mean that if everyone demanded peace instead of another TV set, we'd have peace."
4292,There never was a good war or a bad peace.
4385,"The most difficult thing to adjust to, apparently, is peace and contentment."
4497,"Our researchers into Public Opinion are contentThat he held the proper opinions for the time of year;When there was peace, he was for peace; when there was war, he went."
4502,"Earth, receive an honoured guest;William Yeats is laid to rest.Let the Irish vessel lieEmptied of its poetry."
4548,The detective must be either the official representative of the ethical or the exceptional individual who is in a state of grace.
4658,American foreign policy must be more than the management of crisis. It must have a great and guiding goal: to turn this time of American influence into generations of democratic peace.
4672,I know the human being and the fish can coexist peacefully.
4710,"I just want you to know that, when we talk about war, we're really talking about peace."
4717,I don't know why you're talking about Sweden. They're the neutral one. They don't have an army.
4724,I said you were a man of peace. I want you to know I took immense crap for that.
4727,"See, free nations are peaceful nations. Free nations don't attack each other. Free nations don't develop weapons of mass destruction."
4733,May God bless you all.
4746,We cannot rely exclusively on military power to assure our long-term security. Lasting peace is gained as justice and democracy advance.
4755,I want to be the peace president.
4767,I wasn't happy when we found out there wasn't weapons
4777,Every nation that wants peace will share the benefits of a freer world. And every nation that seeks peace has an obligation to help build that world.
4854,"I believe that the best government that will yield to peace, is one decided by people. Not by a liberator in this case."
4883,"Whenever a government feels the need of promising peace and prosperity to its citizens by means of a proclamation, it is time to be on guard and expect the opposite."
5002,In the world of today can there be peace anywhere until there is peace everywhere?
5435,"What your soldier wants -- really, really wants -- is no-one shooting back at him."
5510,"I didn't want to find her. Not now. Our bargain had been clear, and also inevitable; and there are advantages to sleeping alone. I'll think of them in a moment."
5527,"Peace isn't a stable condition, not for us. Maybe not for anything that lives."
5533,"A sufficiently intelligent being will look about her, solve all questions, then cease activity."
5803,Mitochondrial DNA is blessedly celibate. (p.53)
5896,I loafe and invite my soul.
5897,I have no mockings or arguments; I witness and wait.
5916,Peace is always beautiful.
5959,It is always the secure who are humble.
6087,"I was neither Living nor dead, and I knew nothing, Looking into the heart of light, the silence."
6103,"Let these words answer For what is done, not to be done again May the judgement not be too heavy upon us"
6113,"Even among these rocks, Our peace in His will."
6187,Then let my winds caress thee — Thy comrade let me be — Since naught beside can bless thee Return and dwell with me —
6326,"Dum licet, in rebus jucundis vive beatus;Vive memor quam sis aevi brevis."
6333,Blest hour! it was a luxury — to be!
6545,"The intense atom glows A moment, then is quenched in a most cold repose."
6555,"I love tranquil solitude, And such society As is quiet, wise, and good; Between thee and me What difference? but thou dost possess The things I seek, not love them less."
6658,The cold neutrality of an impartial judge.
6765,"Peace is not the absence of conflict, but the ability to cope with conflict by peaceful means."
6879,"Houston, Tranquility Base here. The Eagle has landed."
6939,Peace is only better than war if peace is not hell too. War being hell makes sense.
6976,"I pledge you that we will neither commit nor provoke aggression, that we shall neither flee nor invoke the threat of force, that we shall never negotiate out of fear, we shall never fear to negotiate."
6985,We have no wish to war with the Soviet Union--for we are a peaceful people who desire to live in peace with all other peoples.
6986,I hope that your Government will refrain from any action which would widen or deepen this already grave crisis and that we can agree to resume the path of peaceful negotiation.
7011,"As the idealism of our youth has served world peace, so can it serve the domestic tranquility."
7014,"While we shall never weary in the defense of freedom, neither shall we ever abandon the pursuit of peace."
7017,"While we proceed to safeguard our national interests, let us also safeguard human interests. And the elimination of war and arms is clearly in the interest of both."
7083,out of the mountain of his soul comes a keen pure silence
7274,I do not want the peace that passeth understanding. I want the understanding which bringeth peace.
7303,"A happy and eternal being has no trouble himself and brings no trouble upon any other being; hence he is exempt from movements of anger and partiality, for every such movement implies weakness. (1)"
7338,Patience is a remedy for every sorrow.
7383,We should provide in peace what we need in war.
7387,They pass peaceful lives who ignore mine and thine.
7457,"Fear not, but trust in Providence,Wherever thou may'st be."
7468,"Thus let me live, unseen, unknown; Thus unlamented let me die; Steal from the world, and not a stone Tell where I lie."
7481,"Dear, damned, distracting town, farewell! Thy fools no more I'll tease: This year in peace, ye critics, dwell, Ye harlots, sleep at ease!"
7493,"There, take (says Justice), take ye each a shell: We thrive at Westminster on fools like you; 'T was a fat oyster,—live in peace,—adieu."
7494,"Let such, such only tread this sacred floor, Who dare to love their country and be poor."
7502,"Unblemish'd let me live, or die unknown; O grant an honest fame, or grant me none!"
7549,"Punitis ingeniis, gliscit auctoritas."
7575,He that respects himself is safe from others; he wears a coat of mail that none can pierce.
7580,The surest pledge of a deathless nameIs the silent homage of thoughts unspoken.
7605,"I like that ancient Saxon phrase, which callsThe burial-ground God's-Acre! It is just;It consecrates each grave within its walls,And breathes a benison o'er the sleeping dust."
7644,"O holy trust! O endless sense of rest!Like the beloved JohnTo lay his head upon the Saviour's breast,And thus to journey on!"
7648,But oftentimes celestial benedictionsAssume this dark disguise.
7673,"It is the fate of a womanLong to be patient and silent, to wait like a ghost that is speechless,Till some questioning voice dissolves the spell of its silence."
7696,"Sleep, comrades, sleep and rest On this Field of the Grounded Arms, Where foes no more molest, Nor sentry's shot alarms!"
7755,"Better to err with Pope, than shine with Pye."
7764,"Mark! where his carnage and his conquests cease!He makes a solitude, and calls it — peace!"
7799,"Patience! Hence—that word was madeFor brutes of burthen, not for birds of prey;Preach it to mortals of a dust like thine,—I am not of thine order."
7851,"I give the fight up: let there be an end,A privacy, an obscure nook for me.I want to be forgotten even by God."
7898,Go practise if you please With men and women: leave a child alone For Christ's particular love's sake!
7925,He who did well in war just earns the rightTo begin doing well in peace.
8000,"Ay waukin, Oh, Waukin still and weary: Sleep I can get nane, For thinking on my Dearie."
8084,"Ne'er saw I, never felt, a calm so deep! The river glideth at his own sweet will: Dear God! the very houses seem asleep; And all that mighty heart is lying still!"
8098,"But an old age serene and bright, And lovely as a Lapland night, Shall lead thee to thy grave."
8129,But hushed be every thought that springs From out the bitterness of things.
8133,Ocean is a mighty harmonist.
8146,I have said that poetry is the spontaneous overflow of powerful feelings: it takes its origin from emotion recollected in tranquility.
8193,That inward eye Which is the bliss of solitude.
8214,"He spake of love, such love as spirits feel In worlds whose course is equable and pure; No fears to beat away, no strife to heal,— The past unsighed for, and the future sure."
8252,"The best of what we do and are, Just God, forgive!"
8305,Oh! that we two were Maying.
8306,"Oh! that we two lay sleeping,Under the churchyard sod;With our limbs at rest on the quiet earth's breast,And our souls at home with God!"
8470,"en's hearts ought not to be set against one another; but set with one another, and all against the Evil Thing only."
8506,Peace hath her victoriesNo less renowned than war.
8531,"No war, or battle's soundWas heard the world around.The idle spear and shield were high up hung."
8555,"And join with thee, calm Peace and Quiet,Spare Fast, that oft with gods doth diet."
8647,"Vain, very vain, my weary search to findThat bliss which only centers in the mind."
8654,Let us draw upon Content for the deficiencies of fortune.
8655,That virtue which requires to be ever guarded is scarce worth the sentinel.
8957,"Politeness iz often wasted, but it iz a good and cheap mistake tew make."
9004,There is no revenge so complete as forgiveness. (p. 235)
9018,Libertas et natale solum:Fine words! I wonder where you stole 'em.
9080,I won't quarrel with my bread and butter.
9116,See in what peace a Christian can die!
9168,"To be exempt from the passions with which others are tormented, is the only pleasing solitude."
9300,"Now my weary lips I close; Leave me, leave me to repose!"
9312,"And hie him home, at evening's close, To sweet repast and calm repose."
9313,"From toil he wins his spirits light, From busy day the peaceful night; Rich, from the very want of wealth, In heaven's best treasures, peace and health."
9338,The breezy call of incense-breathing morn.
9339,"For them no more the blazing hearth shall burn, Or busy housewife ply her evening care: No children run to lisp their sire's return, Or climb his knees the envied kiss to share."
9462,Too civil by half.
9514,Too civil by half.
9600,By a tranquil mind I mean nothing else than a mind well ordered.
9635,"How easy it is to repel and to wipe away every impression which is troublesome or unsuitable, and immediately to be in all tranquility."
9662,"No matter what anyone says or does, my task is to be good. (Hays translation)"
9664,"Retire into thyself. The rational principle which rules has this nature, that it is content with itself when it does what is just, and so secures tranquility."
