index,quote_text
73,"It gives me great pleasure, indeed, to see the stubbornness of an incorrigible nonconformist warmly acclaimed."
160,"But America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand."
493,The English country gentleman galloping after a fox — the unspeakable in full pursuit of the uneatable.
575,"Do you really think, Arthur, that it is weakness that yields to temptation? I tell you that there are terrible temptations that it requires strength, strength and courage, to yield to."
678,I respect orders but I respect myself too and I do not obey foolish rules made especially to humiliate me.
968,"Courage is rightly esteemed the first of human qualities, because, as has been said, 'it is the quality which guarantees all others.'"
1093,There is one thing I esteem higher than that; and that is for a man to be self-reliant and sure of himself.
1096,"Oh courage...oh yes! If only one had that...Then life might be livable, in spite of everything."
1156,"From the hag and hungry goblinThat into rags would rend ye,The spirit that stands by the naked manIn the Book of Moons defend ye."
1266,"Disobedience, the rarest and most courageous of the virtues, is seldom distinguished from neglect, the laziest and commonest of the vices."
1432,It is easy to be brave from a safe distance.
1705,"Courage is fire, and bullying is smoke."
2040,"A great man quotes bravely, and will not draw on his invention when his memory serves him with a word just as good."
2227,I'll risk forty dollars that he can outjump any frog in Calaveras county.
2276,"It is curious that physical courage should be so common in the world, and moral courage so rare."
2568,I'm not leaving! I must stay.
2619,I had grown tired of standing in the lean and lonely front line facing the greatest enemy that ever confronted man — public opinion.
3010,But in the end one needs more courage to live than to kill himself.
3245,"If you do not speak up when it matters, when would it matter that you speak? The opposite of courage is conformity. Even a dead fish can go with the flow."
3247,"The opposite for courage is not cowardice, it is conformity. Even a dead fish can go with the flow."
3389,"Grant us wisdom, grant us courage, Lest we miss Thy kingdom's goal, Lest we miss Thy kingdom's goal."
3509,"In spite of all temptationsTo belong to other nations,He remains an Englishman!"
3525,"Ah pray, make no mistake,we are not shy;We're very wide awake,The moon and I!"
3556,"At times he regarded the wounded soldiers in an envious way. He conceived persons with torn bodies to be peculiarly happy. He wished that he, too, had a wound, a red badge of courage."
3682,Judge — A law student who marks his own examination-papers.
3712,"Nietzsche, an infinitely harder and more courageous intellect, was incapable of any such confusion of ideas; he seldom allowed sentimentality to turn him from the glaring fact."
3767,"Courage, then, my countrymen, our contest is not only whether we ourselves shall be free, but whether there shall be left to mankind an asylum on earth for civil and religious liberty."
4649,"""The hope of courage lies in every heart, together with the fear that we will fail. When the test came, you did not fail."""
4740,May God bless our country and all who defend her.
5105,The same man who could not find it in his conscience to curb his curiosity into the nuclear studies that might someday kill half of Earth would risk his life to save that of an unimportant fellow man.
5158,It's one thing to have guts; it's another to be crazy.
5207,"Publishers, with their usual bravery, dumbed down their books in order to make money at the expense of leaving American children undereducated or, worse, miseducated."
5759,It takes intellectual courage to kick yourself out of your emotional incredulity and persuade yourself that there is no other rational choice.
6040,Only those who will risk going too far can possibly find out how far one can go.
6198,"Yes, as my swift days near their goal'Tis all that I imploreIn life and death a chainless soulWith courage to endure."
6273,"Courage is of the heart by derivation, And great it is. But fear is of the soul."
6301,Courage is in the air in bracing whiffs Better than all the stalemate an's and ifs.
6410,Risest from forth thy silent sea of pines.
6468,"What! alive, and so bold, O earth?"
6599,A conscientious man would be cautious how he dealt in blood.
6969,"I hear it said that West Berlin is militarily untenable. And so was Bastogne. And so, in fact, was Stalingrad. Any dangerous spot is tenable if men--brave men--will make it so."
7109,because it's Spring thingS dare to do people
7228,"Courage, not cleverness; not even inspiration, is the grain of mustard that grows up to be a great tree."
7229,It is not by recognizing the want of courage in someone else that you acquire courage yourself..
