index,quote_text
93,"It is feared that if many H-bombs are used there will be universal death, sudden only for a minority, but for the majority a slow torture of disease and disintegration."
184,"Most people would sooner die than think; in fact, they do so."
206,Righteousness cannot be born until self-righteousness is dead.
209,How much good it would do if one could exterminate the human race.
241,"We all have a tendency to think that the world must conform to our prejudices. The opposite view involves some effort of thought, and most people would die sooner than think – in fact they do so."
259,The infliction of cruelty with a good conscience is a delight to moralists. That is why they invented Hell.
282,Drunkenness is temporary suicide.
360,The state is primarily an organization for killing foreigners.
364,"Patriots always talk of dying for their country, and never of killing for their country."
373,"There is darkness without and when I die there will be darkness within. There is no splendor, nor vastness anywhere; only triviality for a moment and then nothing."
385,A thing is not necessarily true because a man dies for it.
389,A simile committing suicide is always a depressing spectacle.
405,One can survive everything nowadays except death.
594,"All trials are trials for one's life, just as all sentences are sentences of death;"
600,For he who lives more lives than one More deaths than one must die.
602,"And the wild regrets, and the bloody sweats, None knew so well as I: For he who lives more lives than one More deaths than one must die."
611,"Fascism is not defined by the number of its victims, but by the way it kills them."
617,I hate victims who respect their executioners.
653,"But, if it will help ease your irritated souls, please know, dearly departed, that you have ruined our lives."
655,"He is dead, and my hatred has died with him."
667,"It is better; heavier, crueler. The mouth you wear for hell."
681,"It is the same thing: killing, dying, it is the same thing: one is just as alone in each. He is lucky, he will only die once. As for me, for ten days I have been killing him at every minute."
682,I say a murder is abstract. You pull the trigger and after that you do not understand anything that happens.
684,"I do not give a damn about the dead. They died for the Party and the Party can decide what it wants. I practice a live man's politics, for the living."
713,"One is still what one is going to cease to be and already what one is going to become. One lives one's death, one dies one's life."
724,The live dead-man is dead as a producer and alive insofar as he consumes
725,"But since he has decided to have the impossibility of living, every misfortune is an opportunity which lays this importance of living before his eyes and obliges him to decide, once again, to die."
726,"He chooses the most feared, most hated man in order to worship him as a god, feeling sure that he is alone in perceiving the god's secret virtues."
756,"Peyton Fahrquhar was dead; his body, with a broken neck, swung gently from side to side beneath the timbers of the Owl Creek bridge."
769,"Accordion, n. An instrument in harmony with the sentiments of an assassin."
807,"Extinction, n. The raw material out of which theology created the future state."
874,"You are not permitted to kill a woman who has wronged you, but nothing forbids you to reflect that she is growing older every minute. You are avenged 1440 times a day."
910,"Politics are almost as exciting as war, and – quite as dangerous ... n war, you can only be killed once. But in politics many times."
988,"If Hitler invaded Hell, I would make at least a favourable reference to the devil in the House of Commons."
1007,The Russians will sweep through your country and your people will be liquidated. You are on the verge of annihilation.
1024,I am shocked by this wicked crime.
1058,"When I look back on all these worries I remember the story of the old man who said on his deathbed that he had had a lot of trouble in his life, most of which had never happened."
1060,Some people did not like this ceremonious style. But after all when you have to kill a man it costs nothing to be polite.
1064,"I am reminded of the professor who, in his declining hours, was asked by his devoted pupils for his final counsel. He replied, ""Verify your quotations."""
1102,When we dead awaken. … We see that we have never lived.
1227,"Martyrdom, sir, is what these people like: it is the only way in which a man can become famous without ability."
1233,Assassination is the extreme form of censorship; and it seems hard to justify an incitement to it on anti-censorial principles.
1282,Those who understand evil pardon it.
1310,"As long as I have a want, I have a reason for living. Satisfaction is death."
1320,"Death is for many of us the gate of hell; but we are inside on the way out, not outside on the way in."
1370,"I appeal to the chemists to discover a humane gas that will kill instantly and painlessly. In short, a gentlemanly gas – deadly by all means, but humane not cruel."
1456,"The difference between sex and death is, with death you can do it alone and nobody's going to make fun of you."
1464,Change is death.
1469,"My relationship with death remains the same - I'm strongly against it,All I can do is wait for it,"
1470,"Death is like a colonoscopy, the problem is that life is like the prep day."
1473,It is impossible to experience one's own death objectively and still carry a tune.
1479,"Sex and death. Two things that come but once in my lifetime, but at least after death you're not nauseous."
1493,"It's not that I'm afraid to die, I just don't want to be there when it happens."
1581,"As a child, I was more afraid of tetanus shots than, for example, Dracula."
1756,"Finality, Sir, is not the language of politics."
1783,"I am dead: dead, but in the Elysian fields."
1879,"None believeth in the soul of man, but only in some man or person old and departed."
1926,"You have just dined, and however scrupulously the slaughterhouse is concealed in the graceful distance of miles, there is complicity."
1967,"O tenderly the haughty day Fills his blue urn with fire; One morn is in the mighty heaven, And one in our desire."
2086,Skepticism is slow suicide.
2212,"People will say a lot of things about me when I die, but I am determined that ""he died rich"" will not be one of them."
2338,"Death, the only immortal who treats us all alike, whose pity and whose peace and whose refuge are for all — the soiled and the pure, the rich and the poor, the loved and the unloved."
2340,None but the dead have free speech.
2455,One capitalist always kills many.
2477,I used to think that a man was sentenced to death or imprisonment because he was guilty; now I know that he is found guilty because he is disliked.
2530,"I detest life-insurance agents: they always argue that I shall some day die, which is not so."
2617,"The fear of God is not the beginning of wisdom. The fear of God is the death of wisdom. Skepticism and doubt lead to study and investigation, and investigation is the beginning of wisdom."
2655,"A gun gives you the body, not the bird."
2952,"Communism is the death of the soul. It is the organization of total conformity — in short, of tyranny — and it is committed to making tyranny universal."
2984,"I am not ill. But do not worry, one day, I will certainly die."
3013,"Since we're all going to die, it's obvious that when and how don't matter."
3036,"Outside of that single fatality of death, everything, joy or happiness, is liberty."
3090,"What will be left of the power of example if it is proved that capital punishment has another power, and a very real one, which degrades men to the point of shame, madness, and murder?"
