index,quote_text
6,I have come to believe that the motion of the Earth cannot be detected by any optical experiment.
13,"As a child, I received instruction both in the Bible and in the Talmud. I am a Jew, but I am enthralled by the luminous figure of the Nazarene."
14,"Jesus is too colossal for the pen of phrasemongers, however artful. No man can dispose of Christianity with a bon mot."
19,"I believe that whatever we do or live for has its causality; it is good, however, that we cannot see through to it."
129,I believe in one thing—that only a life lived for others is a life worth living.
162,This is a Christian nation.
182,"I do wish I believed in the life eternal, for it makes me quite miserable to think man is merely a kind of machine endowed, unhappily for himself, with consciousness."
224,"When the intensity of emotional conviction subsides, a man who is in the habit of reasoning will search for logical grounds in favour of the belief which he finds in himself."
253,"One who believes, as I do, that the free intellect is the chief engine of human progress, cannot but be fundamentally opposed to Bolshevism, as much as to the Church of Rome."
254,"To save the world requires faith and courage: faith in reason, and courage to proclaim what reason shows to be true."
257,I am as firmly convinced that religions do harm as I am that they are untrue.
280,"Religions, which condemn the pleasures of sense, drive men to seek the pleasures of power. Throughout history power has been the vice of the ascetic."
318,The fact that a belief has a good moral effect upon a man is no evidence whatsoever in favor of its truth.
329,"When I come to my own beliefs, I find myself quite unable to discern any purpose in the universe, and still more unable to wish to discern one."
344,"Man is a credulous animal, and must believe something; in the absence of good grounds for belief, he will be satisfied with bad ones."
361,I resolved from the beginning of my quest that I would not be misled by sentiment and desire into beliefs for which there was no good evidence.
369,There's a Bible on that shelf there. But I keep it next to Voltaire – poison and antidote.
374,"No man who believes that all is for the best in this suffering world can keep his ethical values unimpaired, since he is always having to find excuses for pain and misery."
521,The old believe everything; the middle-aged suspect everything; the young know everything.
642,"They are in bad faith — they are afraid — and fear, bad faith have an aroma that the gods find delicious. Yes, the gods like that, the pitiful souls."
693,I know only one Church: it is the society of men.
696,Your church is a whore: she sells her favors to the rich.
698,I do not understand! I understand nothing! I cannot understand nor do I want to understand! I want to believe! To Believe!
711,"Night is falling: at dusk, you must have good eyesight to be able to tell the Good Lord from the Devil."
752,"To believe is to know you believe, and to know you believe is not to believe."
808,"Faith, n. Belief without evidence in what is told by one who speaks without knowledge, of things without parallel."
810,"Feast, n. A festival. A religious celebration usually signalized by gluttony and drunkenness, frequently in honor of some holy person distinguished for abstemiousness."
835,"Mayonnaise, n. One of the sauces that serve the French in place of a state religion."
836,"Monday, n. In Christian countries, the day after the baseball game."
856,"Religion, n. A daughter of Hope and Fear, explaining to Ignorance the nature of the Unknowable."
862,"Scriptures, n. The sacred books of our holy religion, as distinguished from the false and profane writings on which all other faiths are based."
892,He who thinks with difficulty believes with alacrity.
894,Convictions are variable; to be always consistent is to be sometimes dishonest.
991,I hate Indians. They are a beastly people with a beastly religion.
1139,"Ich am of Irlaunde,Ant of the holy londe&nbsp;&nbsp;Of Irlande.Gode sire, pray ich the,For of saynte charité,Come ant daunce wyth me&nbsp;&nbsp;In Irlaunde."
1157,"God be in my head,And in my understanding,God be in my eyes,And in my looking,God be in my mouth,And in my speaking,God be in my heart,And in my thinking,God be at my end,And at my departing."
1190,Philosophy is questions that may never be answered. Religion is answers that may never be questioned.
1214,"There is only one religion, though there are a hundred versions of it."
1288,I can't talk religion to a man with bodily hunger in his eyes.
1355,Must then a Christ perish in torment in every age to save those that have no imagination?
1363,No public man in these islands ever believes that the Bible means what it says: he is always convinced that it says what he means.
1383,A man of my spiritual intensity does not eat corpses.
1392,FAIRYMOUNT (vb. n.) Polite word for buggery.
1444,The gods help them that help themselves.
1467,How can I believe in God when just last week I got my tongue caught in the roller of an electric typewriter?
1468,"To me there's no real difference between a fortune teller or a fortune cookie and any of the organized religions. They're all equally valid or invalid, really. And equally helpful."
1497,I can't get with any religion that advertises in Popular Mechanics.
1603,People who want to share their religious views with you almost never want you to share yours with them.
1641,"If the people have no faith in their rulers, there is no standing for the state."
1744,Duty cannot exist without faith.
1747,Duty cannot exist without faith.
1762,The characteristic of the present age is a craving credulity.
1773,Religious education is demanded by the nation generally and by the instincts of human nature.
1802,His Christianity was muscular.
1812,"""As for that,"" said Waldenshare, ""sensible men are all of the same religion."" ""Pray, what is that?"" inquired the Prince. ""Sensible men never tell."""
1856,The believing we do something when we do nothing is the first illusion of tobacco.
1887,"For what are they all in their high conceit, When man in the bush with God may meet?"
1943,We are born believing. A man bears beliefs as a tree bears apples.
2037,The gods sell anything to everybody at a fair price.
2047,I see that sensible men and conscientious men all over the world were of one religion.
2109,"la ilaha il-Allah, wa Muhammadu... (There is no god but God and Muhammed )"
2110,"Whatever Allah decides, we are believers, we believe in what he decides, there's no value for any life without faith."
2111,"Whatever the will of God is, then the will of God will be there. Nothing is going to change the Will of God, the believers still believe that what God decides is acceptable."
2119,"If ever I do escape, no one shall reproach me with having broken or violated my faith, not having given my word to any one, whosoever it may be."
2187,"In terms of doing things I take a fairly scientific approach to why things happen and how they happen. I don't know if there's a god or not, but I think religious principles are quite valid."
2188,"Just in terms of allocation of time resources, religion is not very efficient. There's a lot more I could be doing on a Sunday morning."
2271,The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.
2352,"Thus heaven I've forfeited, I know it full well. My soul, once true to God, is chosen for hell."
2425,The religious world is but the reflex of the real world.
2545,"Civil liberties had their origin and must find their ultimate guaranty in the faith of the people. If that faith should be lost, five or nine men in Washington could not long supply its want."
2559,But the validity of a doctrine does not depend on whose ox it gores.
2562,It is possible to hold a faith with enough confidence to believe that what should be rendered to God does not need to be decided and collected by Caesar.
2583,Our hopes are high. Our faith in the people is great. Our courage is strong. And our dreams for this beautiful country will never die.
2660,We are as much as we see. Faith is sight and knowledge. The hands only serve the eyes.
2693,"There are various, nay, incredible faiths; why should we be alarmed at any of them? What man believes, God believes."
2734,"Who could believe in prophecies of Daniel or of Miller that the world would end this summer, while one milkweed with faith matured its seeds?"
2756,"Whate'er we leave to God, God doesAnd blesses us."
2791,"I am terrified of restrictive religious doctrine, having learned from history that when men who adhere to any form of it are in control, common men like me are in peril."
2898,"Public confidence in the integrity of the Government is indispensable to faith in democracy; and when we lose faith in the system, we have lost faith in everything we fight and spend for."
2912,"Well, speaking as a Christian, I would like to say that I find the Apostle Paul appealing and the Apostle Peale appalling."
2916,"Some of us worship in churches, some in synagogues, some on golf courses … yet we are all children of the same Judaic-Christian civilization, with much the same religious background basically."
2966,"Let us be firm, pure and faithful; at the end of our sorrow, there is the greatest glory of the world, that of the men who did not give in."
