index,quote_text
3,"The most beautiful fate of a physical theory is to point the way to the establishment of a more inclusive theory, in which it lives on as a limiting case."
142,"I can't speak or write German, but I'am overjoyed because I have bought one of your pictures. Now it is in me. I write music. You are my teacher."
408,I have the kiss of Walt Whitman still on my lip.
526,"Really, if the lower orders don't set us a good example, what on earth is the use of them?"
547,I never travel without my diary. One should always have something sensational to read in the train.
592,"Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation."
650,"All-powerful god, who am I but the fear that I inspire in others?"
770,"Admiration, n. Our polite recognition of another's resemblance to ourselves."
806,"Erudition, n. Dust shaken out of a book into an empty skull."
887,A popular author is one who writes what the people think. Genius invites them to think something else.
927,"Anyone can rat, but it takes a certain amount of ingenuity to re-rat."
980,"Every morn brought forth a noble chance, and every chance brought forth a noble knight."
982,And now go and set Europe ablaze
1365,Impression of Gandhi! You might as well ask one to give his impression of the Himalayas.
1373,The quality of a play is the quality of its ideas.
1491,If only God would give me some clear sign! Like making a large deposit in my name in a Swiss bank.
1638,"A man's character is formed by the Odes, developed by the Rites and perfected by music."
1739,"But he has left us the legacy of heroes&mdash;the memory of his great name, and the inspiration of his great example."
1801,Desperation is sometimes as powerful an inspirer as genius.
1823,"Poetry teaches the enormous force of a few words, and, in proportion to the inspiration, checks loquacity."
1897,"Olympian bards who sung Divine ideas below, Which always find us young And always keep us so."
1917,"Thought is the property of him who can entertain it, and of him who can adequately place it."
2009,Hitch your wagon to a star.
2024,The imagination is not a talent of some men but is the health of every man.
2027,This world belongs to the energetic.
2031,A good symbol is the best argument and is a missionary to persuade thousands.
2035,Each man is a hero and an oracle to somebody.
2038,Next to the originator of a good sentence is the first quoter of it.
2058,What is there in 'Paradise Lost' to elevate and astonish like Herschel or Somerville?
2415,"The country that is more developed industrially only shows, to the less developed, the image of its own future."
2482,"All the rest of the world uses the word ""electricity."" They've borrowed the word from English. But we Chinese have our own word for it!"
2565,Paddling a canoe is a source of enrichment and inner renewal.
2566,People are more interested in ideas than dress.
2586,Harvard was an extraordinary window on the world.
2644,I was deeply impressed by Rachel Carson's Silent Spring. It may well be the book by which the human race will stand or fall.
2703,Poetry is the mysticism of mankind.
2770,The really great writers are people like Emily Brontë who sit in a room and write out of their limited experience and unlimited imagination.
2882,Fools admire everything in an author of reputation.
2924,"With the supermarket as our temple and the singing commercial as our litany, are we likely to fire the world with an irresistible vision of America's exalted purpose and inspiring way of life?"
3057,...there are more things to admire in men than to despise.
3101,"...lift up your hearts and draw new faith from the resurrection of our people... Ultimately we shall live to see the kingdom of freedom, honour and social justice. Long live Germany!"
