index,quote_text
10,Sometimes one pays most for the things one gets for nothing.
15,No one can read the Gospels without feeling the actual presence of Jesus. His personality pulsates in every word. No myth is filled with such life.
18,Life is like riding a bicycle. To keep your balance you must keep moving.
24,Only a life lived for others is a life worthwhile.
80,"I live in that solitude which is painful in youth, but delicious in the years of maturity."
101,"The devil has put a penalty on all things we enjoy in life. Either we suffer in our health, or we suffer in our soul, or we get fat."
113,There has been an earth for a little more than a billion years. As for the question of the end of it I advise: Wait and see!
137,"Be a loner. That gives you time to wonder, to search for the truth. Have holy curiosity. Make your life worth living."
148,Until I die there will be sounds. And they will continue following my death. One need not fear about the future of music.
196,"The life of man is a long march through the night, surrounded by invisible foes, tortured by weariness and pain, towards a goal that few can hope to reach, and where none may tarry long."
201,"Life seems to me essentially passion, conflict, rage... It is only intellect that keeps me sane; perhaps this makes me overvalue intellect against feeling."
215,Political ideals must be based upon ideals for the individual life. The aim of politics should be to make the lives of individuals as good as possible.
216,The best life is the one in which the creative impulses play the largest part and the possessive impulses the smallest.
235,"People seem good while they are oppressed, but they only wish to become oppressors in their turn: life is nothing but a competition to be the criminal rather than the victim."
258,"In the part of this universe that we know there is great injustice, and often the good suffer, and often the wicked prosper, and one hardly knows which of those is the more annoying."
349,"The good life, as I conceive it, is a happy life. I do not mean that if you are good you will be happy; I mean that if you are happy you will be good."
352,"Some part of life – perhaps the most important part – must be left to the spontaneous action of individual impulse, for where all is system there will be mental and spiritual death."
354,"We are speaking on this occasion, not as members of this or that nation, continent, or creed, but as human beings, members of the species Man, whose continued existence is in doubt."
417,Life is much too important a thing ever to talk seriously about it.
432,Life imitates art far more than art imitates Life.
465,The things people say of a man do not alter a man. He is what he is. Public opinion is of no value whatsoever.
479,Life is far too important a thing ever to talk seriously about it.
484,Gossip is charming! History is merely gossip. But scandal is gossip made tedious by morality.
490,What a pity that in life we only get our lessons when they are of no use to us.
494,Lord Illingworth: The Book of Life begins with a man and a woman in a garden. Mrs. Allonby: It ends with Revelations.
500,I am always astonishing myself. It is the only thing that makes life worth living.
537,"In married life, three is company, and two is none."
567,"Life is never fair, Robert. And perhaps it is a good thing for most of us that is is not."
623,I wanted for the moments in my life to follow each other and order themselves like those of a life remembered. It would be just as well to try to catch time by the tail.
630,"All that I know about my life, it seems, I have learned in books."
664,"...man first of all exists, encounters himself, surges up in the world – and defines himself afterwards."
