index,quote_text
98,"No, this trick won't work. The same trick does not work twice. How on earth are you ever going to explain in terms of chemistry and physics so important a biological phenomenon as first love?"
116,Nothing truly valuable arises from ambition or from a mere sense of duty; it stems rather from love and devotion towards men and towards objective things.
117,Falling in love is not at all the most stupid thing that people do — but gravitation cannot be held responsible for it.
130,"I believe that we don't need to worry about what happens after this life, as long as we do our duty here—to love and to serve."
146,I remember loving sound before I ever took a music lesson. And so we make our lives by what we love.
255,The good life is one inspired by love and guided by knowledge.
272,Love is something far more than desire for sexual intercourse; it is the principal means of escape from the loneliness which afflicts most men and women throughout the greater part of their lives.
274,"To fear love is to fear life, and those who fear life are already three parts dead."
286,"Of all forms of caution, caution in love is perhaps the most fatal to true happiness."
381,Lo! with a little rod I did but touch the honey of romance — And must I lose a soul's inheritance?
514,Those whom the gods love grow young.
522,To love oneself is the beginning of a life-long romance.
569,"All sins, except a sin against itself, Love should forgive. All lives, save loveless lives, true Love should pardon."
572,To love oneself is the beginning of a lifelong romance.
593,For a sentimentalist is simply one who desires to have the luxury of an emotion without paying for it.
598,"It is sweet to dance to violins When Love and Life are fair: To dance to flutes, to dance to lutes Is delicate and rare: But it is not sweet with nimble feet To dance upon the air!"
646,Her face seems ravaged by both lightning and hail. But on yours there is something like the promise of a storm: one day passion will burn it to the bone.
695,It is too early to love. We will buy the right to do so by shedding blood.
732,"For man holds his ground only by surpassing himself, in the same sense in which it is said that one ceases to love if one does not love increasingly everyday."
837,"Neighbor, n. One whom we are commanded to love as ourselves, and who does all he knows how to make us disobedient."
1073,"Tho' Doubt's beleaguering forces hem us in, Yet Truth upon the Serpent's head shall trample. The cause of Love shall win —"
1074,"Yes, Love shall win!"
1144,"""Say me, viit in the brom,Teche me wou I sule donThat min hosebondeMe lovien wolde.""""Hold thine tunke stilleAnd haw al thine wille."""
1168,"Love me little, love me long, Is the burden of my song."
1169,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Love, that covers multitude of sins, Makes love in parents wink at children's faults."
1181,"Why, what is Love but Fortune's tennis-ball?"
1187,Love starts when you sink in his arms and ends with your arms in his sink.
1217,The fickleness of the women I love is only equaled by the infernal constancy of the women who love me.
1244,There is no love sincerer than the love of food.
1299,"Love is an appetite which, like all other appetites, is destroyed for the moment by its gratification."
1454,"Love is the answer. But while you're waiting for the answer, sex raises some pretty good questions."
1458,Sex alleviates tension. Love causes it.
1460,Maybe the poets are right. Maybe love is the only answer.
1481,"Sex without love is an empty experience. But as empty experiences go, it's one of the best."
1636,To rank the effort above the prize may be called love.
1676,"n speaking of Italy, romance has omitted for once to exaggerate."
1727,The magic of first love is our ignorance that it can ever end.
1816,"He who is in love is wise and is becoming wiser, sees newly every time he looks at the object beloved, drawing from it with his eyes and his mind those virtues which it possesses."
1818,"Yet a man may love a paradox, without losing either his wit or his honesty."
1898,"Give all to love; Obey thy heart; Friends, kindred, days, Estate, good fame, Plans, credit, and the muse; Nothing refuse."
1993,"And every man, in love or pride, Of his fate is ever wide."
2075,"Never self-possessed, or prudent, love is all abandonment."
2337,"Love seems the swiftest, but it is the slowest of all growths. No man or woman really knows what perfect love is until they have been married a quarter of a century."
2744,Love is a severe critic. Hate can pardon more than love.
2745,"It is strange that men will talk of miracles, revelations, inspiration, and the like, as things past, while love remains."
2879,"In every province, the chief occupations, in order of importance, are lovemaking, malicious gossip, and talking nonsense."
2988,"Patriotism is when love of your own people comes first; nationalism, when hate for people other than your own comes first."
3003,"Believe me, there is no such thing as great suffering, great regret, great memory...Everything is forgotten, even great love."
