index,quote_text
68,I am very conscious of the fact that our feelings and strivings are often contradictory and obscure and that they cannot be expressed in easy and simple formulas.
72,I think that only daring speculation can lead us further and not accumulation of facts.
132,"Indeed, it is not intellect, but intuition which advances humanity. Intuition tells man his purpose in this life."
149,"Which is more musical, a truck passing by a factory or a truck passing by a music school? Are the people inside the school musical and the ones outside unmusical?"
166,I have found the best way to give advice to your children is to find out what they want and then advise them to do it.
187,Only in thought is man a God; in action and desire we are the slaves of circumstance.
222,"Reason is a harmonising, controlling force rather than a creative one."
284,"There are two motives for reading a book: one, that you enjoy it; the other, that you can boast about it."
323,"Self-respect will keep a man from being abject when he is in the power of enemies, and will enable him to feel that he may be in the right when the world is against him."
346,"Acquisitiveness – the wish to possess as much as possible of goods, or the title to goods – is a motive which, I suppose, has its origin in a combination of fear with the desire for necessaries."
348,"Politics is concerned with herds rather than with individuals, and the passions which are important in politics are, therefore, those in which the various members of a given herd can feel alike."
652,"Suppose that I wish to deserve the title of ""robber of remorse"" and that I place in myself all repentence?"
736,...for one cannot enter an image unless one makes oneself imaginary
773,"Ambition, n. An overmastering desire to be vilified by enemies while living and made ridiculous by friends when dead."
776,"Bacchus, n. A convenient deity invented by the ancients as an excuse for getting drunk."
851,"Positive, adj. Mistaken at the top of one's voice."
872,"Zeal, n. A certain nervous disorder afflicting the young and inexperienced. A passion that goeth before a sprawl."
876,For every man there is something in the vocabulary that would stick to him like a second skin. His enemies have only to find it.
931,"Make your minds perfectly clear that if ever you let loose upon us again a general strike, we will loose upon you &#x2014; another ""British Gazette."""
941,"Where my reason, imagination or interest were not engaged, I would not or I could not learn."
986,"Hitler, in one of his recent discourses, declared that the fight was between those who have been through the Adolf Hitler Schools and those who have been at Eton. Hitler has forgotten Harrow."
999,The empires of the future are the empires of the mind.
1000,To achieve the extirpation of Nazi tyranny there are no lengths of violence to which we will not go.
1008,"It seems to me that the moment has come when the question of bombing of German cities simply for the sake of increasing the terror, though under other pretexts, should be reviewed."
1082,"Rank.Certainly. However wretched I may feel, I want to prolong the agony as long as possible."""
1260,When a man wants to murder a tiger he calls it sport: when the tiger wants to murder him he calls it ferocity. The distinction between Crime and Justice is no greater.
1276,Reason enslaves all whose minds are not strong enough to master her.
1311,Custom will reconcile people to any atrocity; and fashion will drive them to acquire any custom.
1348,The Nazi movement is in many respects one which has my warmest sympathy.
1438,Persuasion is often more effectual than force.
1447,Union gives strength.
1489,Thought: Why does man kill? He kills for food. And not only food: frequently there must be a beverage.
1506,"I can't listen to that much Wagner, ya know? I start to get the urge to conquer Poland."
1585,"I'm sure that this year we'll try to cooperate fully with the IRS, because, as citizens, we feel a strong patriotic duty not to go to jail."
1602,"There is a very fine line between ""hobby"" and ""mental illness."""
1623,"""But that's not fair!""Erik smiled. ""Jess, we're talking about the law here. Fairness has nothing to do with it."""
1682,Fear makes us feel our humanity.
1684,"Experience is the child of Thought, and Thought is the child of Action. We can not learn men from books."
1729,Man is not a rational animal. He is only truly good or great when he acts from passion.
1731,I am not ashamed or afraid to say that I wish more sympathy had been shown on both sides towards the Chartists... I am not ashamed to say that I sympathise with millions of my fellow-subjects.
1732,Free trade is not a principle; it is an expedient.
1738,"But this principle of race is unfortunately one of the reasons why I fear war may always exist; because race implies difference, difference implies superiority, and superiority leads to predominance."
1850,Immortality. I notice that as soon as writers broach this question they begin to quote. I hate quotation. Tell me what you know.
1870,Man Thinking must not be subdued by his instruments.
1904,Thou animated torrid-zone.
1918,The measure of action is the sentiment from which it proceeds. The greatest action may easily be one of the most private circumstance.
1963,"The young men were born with knives in their brain, a tendency to introversion, self-dissection, anatomizing of motives."
1968,"United States! the ages plead, — Present and Past in under-song, — Go put your creed into your deed, Nor speak with double tongue."
2019,"I should as soon think of swimming across Charles River when I wish to go to Boston, as of reading all my books in originals when I have them rendered for me in my mother tongue."
2089,It makes a great difference in the force of a sentence whether a man be behind it or no.
2098,What lies behind us and what lies ahead of us are tiny matters compared to what lies within us.
2112,"The United States can destroy - but the question is, why should America destroy? And why should America generate hostility - the hostility of the world -- towards the United States?"
2178,"Disarmament, with mutual honor and confidence, is a continuing imperative. Together we must learn how to compose differences, not with arms, but with intellect and decent purpose."
2195,"Like almost everyone who uses e-mail, I receive a ton of spam every day. Much of it offers to help me get out of debt or get rich quick. It would be funny if it weren't so irritating."
2317,:Often reported as:
2320,It may be called the Master Passion—the hunger for Self-Approval.
2356,"Reason has always existed, but not always in a rational form."
2357,"The only possible solution which will preserve Germany's honor and Germany's interest is, we repeat, a war with Russia."
2358,"History is not like some individual person, which uses men to achieve its ends. History is nothing but the actions of men in pursuit of their ends."
2393,Money is therefore not only the object but also the fountainhead of greed.
2436,"The directing motive, the end and aim of capitalist production, is to extract the greatest possible amount of , and consequently to exploit labor-power to the greatest possible extent."
2513,"Talk with M. Hermite. He never evokes a concrete image, yet you soon perceive that the more abstract entities are to him like living creatures."
