index,quote_text
11,I refuse to make money out of my science. My laurel is not for sale like so many bales of cotton.
26,The whole of science is nothing more than a refinement of every day thinking.
28,"Everyone who is seriously involved in the pursuit of science becomes convinced that some spirit is manifest in the laws of the universe, one that is vastly superior to that of man."
58,"Since the mathematicians have invaded the theory of relativity, I do not understand it myself anymore."
62,"A theory is something nobody believes, except the person who made it. An experiment is something everybody believes, except the person who made it."
67,"The state is made for man, not man for the state. And in this respect science resembles the state."
70,"One thing I have learned in a long life: that all our science, measured against reality, is primitive and childlike—and yet it is the most precious thing we have."
71,"A truly rational theory would allow us to deduce the elementary particles (electron, etc.) and not be forced to state them a priori."
81,"For scientific endeavor is a natural whole the parts of which mutually support one another in a way which, to be sure, no one can anticipate."
104,On quantum theory I use up more brain grease (rough translation of German idiom) than on relativity.
111,"The more I study science, the more I believe in God."
118,Science is a wonderful thing if one does not have to earn one's living at it.
122,The most important tool of the theoretical physicist is his wastebasket.
123,Physics is essentially an intuitive and concrete science. Mathematics is only a means for expressing the laws that govern phenomena.
128,"Matter is real to my senses, but they aren't trustworthy. If Galileo or Copernicus had accepted what they saw, they would never have discovered the movement of the earth and planets."
221,"The facts of science, as they appeared to him , fed the flame in his soul, and in its light, he saw into the depths of the world."
227,"A life devoted to science is therefore a happy life, and its happiness is derived from the very best sources that are open to dwellers on this troubled and passionate planet."
242,"the average man's opinions are much less foolish than they would be if he thought for himself: in science, at least, his respect for authority is on the whole beneficial."
248,"Modern physics... reduces matter to a set of events which proceed outward from a centre. If there is something further in the centre itself, we cannot know about it, and it is irrelevant to physics."
249,"Physics is mathematical not because we know so much about the physical world, but because we know so little: it is only its mathematical properties that we can discover."
278,"All exact science is dominated by the idea of approximation. When a man tells you that he knows the exact truth about anything, you are safe in inferring that he is an inexact man."
299,"The fundamental concept in social science is Power, in the same sense in which Energy is the fundamental concept in physics."
308,"Science seems to be at war with itself.... Naive realism leads to physics, and physics, if true, shows naive realism to be false. Therefore naive realism, if true, is false; therefore it is false."
324,"Science may set limits to knowledge, but should not set limits to imagination."
328,We need a science to save us from science.
351,"Science, ever since the time of the Arabs, has had two functions: (1) to enable us to know things, and (2) to enable us to do things."
560,"Science can never grapple with the irrational. That is why it has no future before it, in this world."
585,Only good questions deserve good answers.
622,"Monsieur ... I do not believe in God; his existence has been disproved by Science. But in the concentration camp, I learned to believe in men."
683,Politics is a science. You can demonstrate that you are right and that others are wrong.
969,"The wars fanned the wings of science, and science brought to mankind a thousand blessings, a thousand problems and a thousand perils."
1072,It is inexcusable for scientists to torture animals; let them make their experiments on journalists and politicians.
1500,"Interestingly, according to modern astronomers, space is finite. This is a very comforting thought — particularly for people who can never remember where they have left things."
1582,It is a scientific fact that your body will not absorb cholesterol if you take it from another person's plate.
1792,The pursuit of science leads only to the insoluble.
1950,"Bad times have a scientific value. We learn geology the morning after the earthquake, on ghastly diagrams of cloven mountains, upheaved plains, and the dry bed of the sea."
2003,"Men love to wonder, and that is the seed of our science."
2021,Science does not know its debt to imagination.
2206,Most governments take advantage of their scientists and listen to them. They don't undermine them and attack them.
2413,"Every beginning is difficult, holds in all sciences."
2515,There is no science apart from the general. It may even be said that the very object of the exact sciences is to spare us these direct verifications.
2516,"Scientists believe there is a hierarchy of facts and that among them may be made a judicious choice. They are right, since otherwise there would be no science..."
2517,"The mathematician is born, not made."
2524,"When an astronomer tells me that some stellar phenomenon, which his telescope reveals to him at this moment, happened... fifty years ago... I... ask... how he has measured the velocity of light."
2577,I don't really know what a cyclotron is but I am certainly very happy Canada has one!
2672,Every poet has trembled on the verge of science.
2692,"You can hardly convince a man of an error in a lifetime, but must content yourself with the reflection that the progress of science is slow. If he is not convinced, his grandchildren may be."
2885,"""A false science makes atheists, a true science prostrates men before the Deity"""
3180,"Science is meaningless because it gives no answer to our question, the only question important for us: 'what shall we do and how shall we live"
3315,"The collegiate idealists who fill the ranks of the environmental movement seem willing to do absolutely anything to save the biosphere, except take science courses and learn something about it."
3710,"Science, at bottom, is really anti-intellectual. It always distrusts pure reason, and demands the production of objective fact."
3934,I can't be as confident about computer science as I can about biology. Biology easily has 500 years of exciting problems to work on. It's at that level.
3954,Trees sprout up just about everywhere in computer science...
3974,"In the good old days physicists repeated each other's experiments, just to be sure. Today they stick to FORTRAN, so that they can share each other's programs, bugs included."
3982,A scientific discipline emerges with the - usually rather slow! - discovery of which aspects can be meaningfully 'studied in isolation for the sake of their own consistency.
4019,Those who are not shocked when they first come across quantum theory cannot possibly have understood it.
4028,It is a great pity that human beings cannot find all of their satisfaction in scientific contemplativeness.
4029,Anyone who is not shocked by quantum theory has not understood it.
4339,Science... the ways it does its calculating that approximately nobody going in at a basic level can gain any sense of the whole.
4588,Anyone who has a child today should train him to be either a physicist or a ballet dancer. Then he'll escape.
4594,"Scientists try to eliminate their false theories, they try to let them die in their stead. The believer—whether animal or man—perishes with his false beliefs."
4598,Science may be described as the art of systematic over-simplification — the art of discerning what we may with advantage omit.
