index,quote_text
37,Time has proved that illustrious tyrants are succeeded by scoundrels.
91,I want to go when I want. It is tasteless to prolong life artificially. I have done my share; it is time to go. I will do it elegantly.
145,We need not destroy the past. It is gone.
185,"Thee will find out in time that I have a great love of professing vile sentiments, I don't know why, unless it springs from long efforts to avoid priggery."
195,"The slave is doomed to worship time and fate and death, because they are greater than anything he finds in himself, and because all his thoughts are of things which they devour."
337,What is new in our time is the increased power of the authorities to enforce their prejudices.
384,"Be warned in time, James, and remain, as I do, incomprehensible: to be great is to be misunderstood."
524,Time is a waste of money.
579,"When one pays a visit it is for the purpose of wasting other people's time, not one's own."
604,"I know not whether Laws be right, Or whether Laws be wrong; All that we know who lie in gaol Is that the wall is strong; And that each day is like a year, A year whose days are long."
608,"I know not whether Laws be right, Or whether Laws be wrong; All that we know who lie in gaol Is that the wall is strong; And that each day is like a year, A year whose days are long."
619,"I think they do it to pass the time, nothing more. But time is too large, it can't be filled up. Everything you plunge into it is stretched and disintegrates."
621,Three o'clock is always too late or too early for anything you want to do.
627,The past is the luxury of proprietors.
714,"The French bourgeois doesn't dislike shit, provided it is served up to him at the right time."
765,Before undergoing a surgical operation arrange your temporal affairs. You may live.
792,"Clock, n.: A machine of great moral value to man, allaying his concern for the future by reminding him what a lot of time remains to him."
798,"Dawn, n. The time when men of reason go to bed. Certain old men prefer to rise at about that time, taking a cold bath and a long walk with an empty stomach, and otherwise mortifying the flesh."
840,"Once, adj. Enough."
912,"The Times is speechless, and takes three columns to express its speechlessness."
948,"I do think unpunctuality is a vile habit, and all my life I have tried to break myself of it."
959,"We cannot afford to see Nazidom in its present phase of cruelty and intolerance, with all its hatreds and all its gleaming weapons, paramount in Europe at the present time."
987,The hour has come; kill the Hun.
1009,It is a mistake to look too far ahead. Only one link in the chain of destiny can be handled at a time.
1071,The great task of our time is to blow up all existing institutions — to destroy.
1153,"But he that takes not such time, while he may,Shall leap at a whiting, when time is away."
1180,"Who blurs fair paper with foul bastard rhymes,Shall live full many an age in latter times:Who makes a ballad for an alehouse door,Shall live in future times for evermore."
1185,"If you can't do the time, don't do the crime."
1228,": What will History say?: History, sir, will tell lies, as usual."
1231,"is a foolish expedient for making idle people believe they are doing something very clever, when they are only wasting their time."
1341,Time enough to think of the future when you haven't any future to think of.
1352,"It is difficult, if not impossible, for most people to think otherwise than in the fashion of their own period."
1411,I love deadlines. I love the whooshing noise they make as they go by.
1501,"More than any other time in history, mankind faces a crossroads. One path leads to despair and utter hopelessness. The other, to total extinction. Let us pray we have the wisdom to choose correctly."
1508,...years of insanity have made this guy crazy!
1515,Harry: Tradition is the illusion of permanence.
1536,"To a man standing on the shore, time passes quicker than to a man on a boat — especially if the man on the boat is with his wife."
1542,"t is impossible for motion to subsist without place, and void, and time."
1570,"A whole is that which has beginning, middle, and end."
1601,There comes a time when you should stop expecting other people to make a big deal about your birthday. That time is: age 11.
