index,quote_text
1,The mass of a body is a measure of its energy content.
38,The man who enjoys marching in line and file to the strains of music falls below my contempt; he received his great brain by mistake – the spinal cord would have been amply sufficient.
44,Perfection of means and confusion of goals seem—in my opinion—to characterize our age.
54,I am very smart. But not as strong-hearted as all the workers on earth for he toils endlessly and does it all to feed his family while I do it merely for solving an impossible puzzle.
55,It is easier to denature plutonium than it is to denature the evil spirit of man.
147,"A finished work is exactly that, requires resurrection."
152,"Value judgments are destructive to our proper business, which is curiosity and awareness."
164,One of the difficulties with all our institutions is the fact that we've emphasized the reward instead of the service.
167,It's a recession when your neighbor loses his job; it's a depression when you lose yours.
171,"I don't believe in anti-anything. A man has to have a program; you have to be for something, otherwise you will never get anywhere."
175,My favorite animal is the mule. He has more sense than a horse. He knows when to stop eating — and when to stop working.
180,"It is an awful responsibility which has come to us. We thank God that it has come to us, instead of to our enemies; and we pray that He may guide us to use it in His ways and for His purposes."
228,"Every great study is not only an end in itself, but also a means of creating and sustaining a lofty habit of mind."
231,Ethics is in origin the art of recommending to others the sacrifices required for co-operation with oneself.
234,"The method of ""postulating"" what we want has many advantages; they are the same as the advantages of theft over honest toil."
261,Machines are worshipped because they are beautiful and valued because they confer power; they are hated because they are hideous and loathed because they impose slavery.
267,It is clear that thought is not free if the profession of certain opinions makes it impossible to earn a living.
273,"Marriage is for women the commonest mode of livelihood, and the total amount of undesired sex endured by women is probably greater in marriage than in prostitution."
300,Power may be defined as the production of intended effects.
332,"All the time that he can spare from the adornment of his person, he devotes to the neglect of his duties."
398,I put all my genius into my life; I put only my talent into my works.
402,It is better to have a permanent income than to be fascinating.
420,Heaven is a despotism. I shall be at home there.
428,Hard work is simply the refuge of people who have nothing whatever to do.
483,My own business always bores me to death. I prefer other people's.
563,Sooner or later we have all to pay for what we do.
582,Now don't stir. I'll be back in five minutes. And don't fall into any temptations while I am away.
590,"When one has weighed the sun in the balance, and measured the steps of the moon, and mapped out the seven heavens, there still remains oneself. Who can calculate the orbit of his own soul?"
596,"When a voice behind me whispered low, ""That fellow's got to swing."""
628,Who can exhaust a man? Who knows a man's resources?
641,"Some men are born committed to action: they do not have a choice, they have been thrown on a path, at the end of that path, an act awaits them, their act."
647,A man who is free is like a mangy sheep in a herd. He will contaminate my entire kingdom and ruin my work.
660,"We were too light, Electra. Now our feet press down in the earth like the wheels of a cart in its groove. Come with me, and we will walk heavily, bending under the weight of our heavy load."
663,"In a world, man must create his own essence: it is in throwing himself into the world, suffering there, struggling there, that he gradually defines himself."
690,The best work is not what is most difficult for you; it is what you do best.
705,"If you want to deserve Hell, you need only stay in bed. The world is iniquity; if you accept it, you are an accomplice, if you change it you are an executioner."
708,One cannot become a saint when one works sixteen hours a day.
717,It was a constraint; he makes of it his mission
720,"His business is here, it is here that he is despised and vilified, it is here that he must carry out his undertaking"
759,"Study Herod, madame, study Herod."
785,"Callous, adj. Gifted with great fortitude to bear the evils afflicting another."
791,"Clarionet, n. An instrument of torture operated by a person with cotton in his ears. There are two instruments that are worse than a clarionet -- two clarionets."
801,"Dictionary, n. A malevolent literary device for cramping the growth of a language and making it hard and inelastic. This dictionary, however, is a most useful work."
828,"Labor, n. One of the processes by which A acquires property of B."
845,"Overwork, n. A dangerous disorder affecting high public functionaries who want to go fishing."
886,We submit to the majority because we have to. But we are not compelled to call our attitude of subjection a posture of respect.
891,"The money-getter who pleads his love of work has a lame defense, for love of work at money-getting is a lower taste than love of money."
933,Cultured people are merely the glittering scum which floats upon the deep river of production.
943,No hour of life is lost that is spent in the saddle.
